prospect_id,account_id,campaign_id,campaign_name,marketing_channel,funnel_stage,account_name,company_domain,country,job_title,job_category,seniority_level,function_area,decision_power,opt_in_timestamp,opt_in_date,opt_in_year,opt_in_month,opt_in_month_name,opt_in_weekday_name,opt_in_quarter,opt_in_hour,time_segment,is_business_hours,is_weekend,opt_in_status,opt_out_timestamp,has_opted_out,opt_out_duration_days
0034M0000qUkSoNQAV,0014M0000mXuCYxQAN,FY23-Q3-global-PROD461-valentines_day_special,Valentine's Day Special,advertisement,no_show,Alpha Innovations,alphainnov.biz,Italy,Senior Managed Care Social Media,senior_practitioner,senior,marketing,medium,2023-06-23 06:11:00,2023-06-23,2023.0,6.0,June,Friday,2.0,6.0,morning,False,False,yes,,False,
0034M0000HOb6cnQAD,0014M0000mXuCYxQAN,FY23-Q3-global-PROD461-annual_clearance_event,Annual Clearance Event,trade_show,responded,Alpha Innovations,alphainnov.biz,Italy,SENIOR ANALYST,senior_practitioner,senior,data_analytics,medium,,,,,,,,,unknown,False,False,yes,2023-11-26 06:11:00,True,
0034M0000rRLR2bQAX,0014M0000mXuCYxQAN,FY23-Q3-global-PROD461-spring_flower_sale,Spring Flower Sale,referral,no_show,Alpha Innovations,alphainnov.biz,Italy,Data- Bij DE Gemeente Leeuwarden Analyst,practitioner,mid_level,data_analytics,low,,,,,,,,,unknown,False,False,yes,2023-07-21 06:11:00,True,
0034M0000hRZsn9QAD,0014M0000mXuCYxQAN,FY23-Q3-global-PROD461-spring_break_sale,Spring Break Sale,trade_show,no_show,Alpha Innovations,alphainnov.biz,Italy,Data Analyst,practitioner,mid_level,data_analytics,low,,,,,,,,,unknown,False,False,yes,2023-07-11 06:11:00,True,
0034M0000pVvfBmQAJ,0014M0000mXuCYxQAN,FY23-Q3-global-PROD461-spring_flower_sale,Spring Flower Sale,advertisement,no_show,Alpha Innovations,alphainnov.biz,Italy,Data Scientist / Analyst / Engineer,practitioner,mid_level,data_analytics,low,,,,,,,,,unknown,False,False,yes,2023-11-26 06:11:00,True,
0034M0000ltjTiyQAE,0014M0000mXuCYxQAN,FY23-Q3-global-PROD461-annual_clearance_event,Annual Clearance Event,advertisement,responded,Alpha Innovations,alphainnov.biz,Italy,Vice President Analyst,executive,c_level,data_analytics,high,,,,,,,,,unknown,False,False,yes,2023-06-21 06:11:00,True,
0034M0000tRCdPtQAL,0014M0000mXuCYxQAN,FY23-Q3-global-PROD461-fall_favorites_sale,Fall Favorites Sale,advertisement,no_show,Alpha Innovations,alphainnov.biz,Italy,IT analyst,practitioner,mid_level,data_analytics,low,,,,,,,,,unknown,False,False,yes,,False,
0034M0000ENlXNbQAX,0014M0000mXuCYxQAN,FY23-Q3-global-PROD461-fall_favorites_discounts,Fall Favorites Discounts,advertisement,responded,Alpha Innovations,alphainnov.biz,Italy,Data Analyst,practitioner,mid_level,data_analytics,low,,,,,,,,,unknown,False,False,yes,,False,
0034M0000k8nRgGQAZ,0014M0000mXuCYxQAN,FY23-Q3-global-PROD461-annual_summer_clearance,Annual Summer Clearance,advertisement,no_show,Alpha Innovations,alphainnov.biz,Italy,Business Analyst,practitioner,mid_level,data_analytics,low,,,,,,,,,unknown,False,False,yes,,False,
0034M0000QmeZcEQAX,0014M0000mXuCYxQAN,FY23-Q3-global-PROD461-spring_sales_bonanza,Spring Sales Bonanza,advertisement,responded,Alpha Innovations,alphainnov.biz,Italy,Information Technology Analyst (GRC),practitioner,mid_level,data_analytics,low,,,,,,,,,unknown,False,False,yes,,False,
